Date,Description,Amount,Category
2026-05-19,The Red Lion Pub,42.50,Food
2026-05-18,Oak & Anchor Bar,28.75,Food
2026-05-17,Crown Inn Drinks,19.20,Food
2026-05-16,Harbour Lights Pub,56.80,Food
2026-05-15,Kings Head Lunch,24.30,Food
2026-05-14,Station Tavern,31.60,Food
2026-05-13,White Hart Friday Pints,38.90,Food
2026-05-12,George & Dragon,22.15,Food
2026-05-11,Millstone Inn,47.25,Food
2026-05-10,Riverside Pub Quiz Night,35.40,Food
2026-05-09,Black Bull Ale House,29.85,Food
2026-05-08,Coach & Horses,18.50,Food
2026-05-07,Old Ship Inn,41.20,Food
2026-05-06,Fox & Hounds,26.70,Food
2026-05-05,Green Man Pub,33.95,Food
2026-05-04,Prince of Wales,21.80,Food
2026-05-03,Castle Arms Sunday Roast,52.60,Food
2026-05-02,Blue Boar Inn,27.40,Food
2026-05-01,Rose & Crown,30.15,Food
2026-04-30,Swan Hotel Bar,44.90,Food
2026-04-29,Three Tuns Pub,23.55,Food
2026-04-28,Golden Lion,36.20,Food
2026-04-27,Spread Eagle,19.75,Food
2026-04-26,Plough Inn,48.30,Food
2026-04-25,White Horse Tavern,25.60,Food
2026-04-24,Bell Inn Drinks,17.90,Food
2026-04-23,Star Inn Curry Night,39.85,Food
2026-04-22,Anchor Pub,28.40,Food
2026-04-21,Market Tavern,31.70,Food
2026-04-20,Union Arms,22.95,Food
2026-04-19,Bricklayers Arms,45.50,Food
2026-04-18,Watermans Pub,26.25,Food
2026-04-17,Griffin Inn,34.80,Food
2026-04-16,Queens Head,20.60,Food
2026-04-15,Volunteer Pub,37.15,Food
2026-04-14,Commercial Hotel Bar,29.30,Food
2026-04-13,New Inn,24.75,Food
2026-04-12,Blacksmiths Arms,41.90,Food
2026-04-11,Windmill Pub,18.40,Food
2026-04-10,Railway Tavern,33.25,Food
2026-04-09,Foresters Arms,27.80,Food
2026-04-08,Shoulder of Mutton,46.15,Food
2026-04-07,Packhorse Inn,21.50,Food
2026-04-06,Golden Fleece,35.70,Food
2026-04-05,White Swan,23.90,Food
2026-04-04,Angel Inn,40.25,Food
2026-04-03,Cross Keys Pub,28.60,Food
2026-04-02,Feathers Hotel Bar,32.45,Food
2026-04-01,Stag Inn March Drinks,19.85,Food
2026-03-31,Barley Mow,44.20,Food
2026-03-30,Robin Hood Inn,26.95,Food
2026-03-29,Thatchers Arms,31.40,Food
2026-03-28,Potters Arms,24.10,Food
